"Rank","domain","Linking Root Domains","score"
"1","www.blogger.com","31,227,319","100"
"2","www.google.com","15,407,669","100"
"3","youtube.com","24,301,374","100"
"4","microsoft.com","5,566,307","99"
"5","support.google.com","5,898,866","99"
"6","apple.com","6,829,571","99"
"7","linkedin.com","13,228,113","99"
"8","wordpress.org","12,499,853","99"
"9","play.google.com","4,001,241","98"
"10","youtu.be","5,447,457","98"
"11","en.wikipedia.org","7,217,991","98"
"12","maps.google.com","6,205,993","98"
"13","docs.google.com","3,629,057","98"
"14","mozilla.org","2,586,024","98"
"15","cloudflare.com","8,002,527","98"
"16","sites.google.com","2,391,354","97"
"17","drive.google.com","2,671,769","97"
"18","googleusercontent.com","3,779,084","97"
"19","plus.google.com","11,039,044","97"
"20","adobe.com","2,889,890","97"
"21","europa.eu","2,419,784","97"
"22","bp.blogspot.com","18,308,763","97"
"23","whatsapp.com","4,681,074","97"
"24","accounts.google.com","2,556,470","97"
"25","policies.google.com","3,495,815","96"
"26","t.me","1,714,619","96"
"27","amazon.com","5,162,296","96"
"28","facebook.com","61,917,825","96"
"29","uol.com.br","694,481","96"
"30","istockphoto.com","3,721,247","96"
"31","vk.com","1,864,629","96"
"32","vimeo.com","3,646,877","96"
"33","github.com","3,144,010","96"
"34","search.google.com","1,819,057","95"
"35","nytimes.com","2,225,198","95"
"36","workspace.google.com","1,103,670","95"
"37","enable-javascript.com","8,773,400","95"
"38","nih.gov","1,574,575","95"
"39","netvibes.com","1,236,871","95"
"40","paypal.com","1,192,191","95"
"41","globo.com","467,740","95"
"42","w3.org","1,149,604","95"
"43","twitter.com","61,457,745","95"
"44","theguardian.com","1,611,053","95"
"45","developers.google.com","1,171,845","95"
"46","es.wikipedia.org","995,267","95"
"47","draft.blogger.com","12,797,319","95"
"48","mail.google.com","694,595","95"
"49","tools.google.com","1,856,611","95"
"50","imdb.com","1,564,820","95"
"51","jimdofree.com","1,703,593","95"
"52","live.com","1,023,643","95"
"53","medium.com","1,849,606","95"
"54","www.weebly.com","6,708,234","95"
